pc_timestamp_ms,node_id,uwb_id,role,slot,distance_m
1.78E+12,7,0,0,8,1.47
1.78E+12,7,0,0,6,1.26
1.78E+12,8,0,0,6,1.39
1.78E+12,8,0,0,7,1.47
,,,,,
,,,,,
,,,,,1778580543711,7,0,0,5,1.55
1778580543711,7,0,0,6,1.26
1778581793490,7,0,0,5,1.45
1778581793493,7,0,0,6,1.34
1778582307096,7,0,0,5,0.73
1778582307122,7,0,0,6,1.39
1778584610948,7,0,0,5,0.83
1778584610978,7,0,0,6,1.41
1778584650847,8,0,0,6,0.82
1778584650878,8,0,0,7,0.65
1778584689670,7,0,0,5,0.82
1778584689699,7,0,0,6,1.39
1778585023957,7,0,0,5,0.86
1778585023985,7,0,0,6,1.36
1778585485831,7,0,0,5,0.8
1778585485862,7,0,0,6,1.29
1778585524760,8,0,0,6,0.96
1778585524792,8,0,0,7,0.62
